label-coarse,text
0,How do you ask questions ?
3,Who is the leader of Brunei ?
OTHERS,"What dropped 1 , 313 feet in 1980 ?"
OTHERS,"In 1990 , what day of the week did Christmas fall on ?"
OTHERS,What is the average cost for four years of medical school ?
OTHERS,What is the trademark of a Washington Redskin 's fan ?
OTHERS,How many tiles did the Space Shuttle Columbia lose on its second flight ?
OTHERS,What 's the highest possible bid in Contract Bridge ?
0,What do insects do through their spiracles ?
OTHERS,Name Li 'l Abner 's favorite Indian drink .
OTHERS,"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?"
OTHERS,What is the recipe or formula for Coca-Cola ?
3,What president also became a supreme court justice ?
OTHERS,What time of year has the most air travel ?
3,"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?"
OTHERS,When was the first practical commercial typewriter marketed ?
OTHERS,When was the internal combustion engine developed ?
0,"Why do some jets have a vapor trail , and others do not ?"
OTHERS,What do flatfish eat ?
0,What is the function of the appendix ?
0,What are geckos ?
3,What was the name of the lawyer who represented Randy Craft ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
OTHERS,What is the time it takes a typist to type a screenplay that is 100 pages long ?
OTHERS,What is the most widely cultivated plant ?
OTHERS,What was Thatcher 's approval rating after 10 years in power ?
OTHERS,What two major world religions began in India ?
3,Rotary engines were manufactured by which company ?
OTHERS,How old is the sun ?
OTHERS,"What is the name of the rare neurological disease with symptoms such as : involuntary movements , tics , swearing , and incoherent vocalizations , grunts , shouts , etc. ?"
5,What were the first three cities to have a population of more than a million ?
0,What nuclear process takes place in an H-bomb ?
5,Where is the Valley of the Kings ?
5,What Scandinavian capital is built on nine bridge-connected islands ?
3,Who was President Cleveland 's wife ?
3,Who was Hitler 's minister of propaganda ?
3,What British prime minister and U.S. president were seventh cousins once-removed ?
5,Where in a tree does photosynthesis occur ?
3,What well-known music personality is the father of an adopted son named Hans Christian Henderson ?
5,"Where does Buzz Aldrin want to build a permanent , manned space station ?"
0,What are faults in the earth 's crust ?
OTHERS,What award is the `` Oscar '' of advertising ?
2,What is the abbreviated form of the National Bureau of Investigation ?
OTHERS,How many people are there in the world ?
3,Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?
3,Who created `` The Muppets '' ?
3,Who was nicknamed The Little Corporal ?
5,"What planet would you visit to see Bebrenia , Arcadia , and Amazonis ?"
OTHERS,What is the acreage of the Chappellet vineyard ?
OTHERS,When did Mount St. Helens last erupt ?
OTHERS,What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?
OTHERS,What flag flies over Wake Island ?
OTHERS,What percentage of Americans own their homes ?
OTHERS,What amount of folic acid should an expectant mother take daily ?
3,What university was Woodrow Wilson President of ?
OTHERS,What hymn did John Steinbeck get his title The Grapes of Wrath from ?
3,What famous husband-and-wife team did radio ads for Blue Nun wine ?
3,"What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''"
2,What does the abbreviation AIDS stand for ?
5,Where is Mozambique located ?
3,Who was the second man to walk on the moon ?
OTHERS,What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?
OTHERS,What is a fear of passing high objects ?
0,How do anti-locking brakes work ?
0,Why is Thanksgiving on a Thursday ?
5,What are the only two states that incorporate the Confederate battle flag in their flags ?
OTHERS,What kind of meat is Fray Bentos synonymous with ?
OTHERS,What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?
2,What is the abbreviation of the International Olympic Committee ?
0,What was the filling in the first golf balls ?
OTHERS,What is the term for the side of the mountain that faces the prevailing winds ?
0,What does Aaron mean ?
2,"What does Ms. , Miss , and Mrs. stand for ?"
OTHERS,What is the price for AAA 's liability auto insurance ?
0,What is a Mexican hairless ?
5,What country did King Wenceslas rule ?
3,Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?
OTHERS,How long is human gestation ?
OTHERS,What is the folklore story regarding birds ' nests and birds in Christmas trees ?
3,"Which U.S. President is buried in Washington , D.C. ?"
OTHERS,How many elevators do you ride to reach the top floor of the Empire State Building ?
OTHERS,What is Nero Wolfe 's favorite drink during office hours ?
0,Why do they call it a `` funny bone '' ?
OTHERS,What color of Monopoly properties are landed on most often ?
OTHERS,What six words follow the line : `` From a jack to a king.. . '' ?
OTHERS,How wide is the Atlantic Ocean ?
OTHERS,Aspartame is also known as what ?
0,What is an Angelus ?
5,What is the capital of Seattle ?
OTHERS,How long is the Coney Island boardwalk ?
0,How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?
OTHERS,What are `` darning needles '' and `` horse stingers '' better known as ?
OTHERS,What is the most number of goals scored by a single team in an NHL hockey game ?
OTHERS,"How long is the world 's largest ship , in meters ?"
3,"Who was in Death of a Salesman original movie , not 1985 ?"
OTHERS,What are some colorful flowers that will bloom in the fall in New England ?
3,What Soviet leader owned a Rolls-Royce ?
3,Name the fast food chain with the golden arches .
OTHERS,What color is most often used to symbolize truth ?
5,What nationality is a Sicilian ?
0,What are the lyrics to the Star Spangled Banner ?
OTHERS,What is the normal resting heart rate of a healthy adult ?
5,What lake is Sheboygan on ?
5,What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?
OTHERS,What is the chemical reactivity of helium ?
OTHERS,How many colors are there in the spectrum ?
OTHERS,How many American soldiers remain unaccounted from the Vietnam war ?
OTHERS,What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?
0,Why does the sun shine only a short time in Alaska ?
5,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
3,Who wrote ` Dubliners ' ?
3,What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?
3,What Cherokee Indian gave his name to a tree ?
2,What is RAM in the computer ?
5,Where is Procter & Gamble based in the U.S. ?
3,"Who said , `` I shall return . '' during World War Two ?"
OTHERS,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?"
0,What does the name Billie mean ?
3,Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?
OTHERS,What was Simple Simon fishing for in his mother 's pail ?
0,What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?
3,What daughter of Henry VIII and Anne Boleyn became queen of England ?
OTHERS,Which ear can most people hear better with ?
3,Who invented the fax machine ?
OTHERS,What 's the name of Jacques Cousteau 's research ship ?
0,Why was the zipper invented ?
OTHERS,What famed tennis tournament 's men 's singles title was Fred Perry the last Englishman to win ?
3,What TV detective did Craig Stevens play ?
3,What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?
OTHERS,In what year did Joe DiMaggio compile his 56-game hitting streak ?
5,Where 's the Bernini-Bristol Hotel ?
5,What is the largest city in the world ?
OTHERS,What are the unemployment statistics for the years 1965 and 1990 ?
0,What is the `` 7-minute cigarette '' ?
0,What is the history of Valentine 's Day cards ?
5,What Russian seaport has a name meaning `` Lord of the East '' ?
OTHERS,How many calories are there in a glass of water ?
3,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?
OTHERS,"What common plant has a button , cap , cup , gills , and ring ?"
0,"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?"
3,Who is the `` Queen Mother '' ?
OTHERS,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
5,Where does the weird shape of the dinner fish knife originate from ?
OTHERS,How much does the President get paid ?
OTHERS,"What card game derived its name from biritch , or Russian Whist ?"
3,Which Doonesbury character was likely to turn into a werewolf ?
0,What is hyperopia ?
OTHERS,How many Superbowls have the ers won ?
5,What is the habitat of the chickadee ?
OTHERS,What did Jack exchange with the butcher for a handful of beans ?
3,What was the name of the first Russian astronaut to do a spacewalk ?
3,"Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?"
0,What are the side effects of mevacor ?
0,How is plastic made ?
OTHERS,What was the first Sam Spade novel ?
OTHERS,When was the USSR dissolved ?
OTHERS,What kind of poisoning is known as plumbism ?
3,Who penned : `` Neither a borrower nor a lender be '' ?
OTHERS,What is Maurizio Pellegrin 's age ?
3,"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' ."
OTHERS,What year did the United States pass the Copyright law ?
OTHERS,What ability has the silkworm moth lost through domestication ?
3,"What 's Mrs. Bridges 's job on TV 's Upstairs , Downstairs ?"
OTHERS,Which breakfast cereal brought you `` the best each morning '' ?
OTHERS,What century 's the setting for TV 's The Adventures of Robin Hood ?
OTHERS,Which gender has bigger thighs ?
OTHERS,"What 's the maximum length , in inches , of a first baseman 's glove ?"
3,What is the name of the firm that makes Spumante ?
2,What does NAFTA stand for ?
3,What director made one silent and one sound version of The Ten Commandments ?
3,What six-foot temperance advocate wielded her hatchet on saloons ?
3,What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?
5,In what country is a stuck-out tongue a friendly greeting ?
OTHERS,What 's the singular of dice ?
3,What Indian tribe is F Troop perpetually doing battle with ?
0,What is color ?
OTHERS,What is the average time it takes for a male to ejaculate ?
5,What is California 's capital ?
OTHERS,"What disease plagued Europe , Africa and Asia ?"
5,What Peruvian city is home to the mummified body of Francisco Pizarro ?
0,How can you tell when figs are ripe ?
3,Who was the conservationist who served as spokesperson for Post Grape Nuts ?
3,What fool is not so wise To lose an oath to win a paradise ?
OTHERS,How long does it take to hike the entire Appalachian Trail ?
0,What is Betsy Ross famous for ?
0,How is an executioner determined ?
5,What is the country of origin for the name Thomas ?
OTHERS,How many spears are there on Kenya 's flag ?
OTHERS,How many different kinds of ice cream are there ?
0,What qualifications are there for individuals donating blood ?
0,"What was the claim to fame of Explorer I , launched February 1 , 1958 ?"
5,What country was General Douglas McArthur in when he was recalled by President Truman ?
0,What are the Baltic States ?
2,What does NASA stand for ?
3,What doctor claimed in a 1946 book : `` There is no such thing as a bad boy '' ?
0,What is crabgrass ?
0,Why are there 12 people on a jury in criminal cases ?
3,Who commanded the French forces at the Battle of Orleans ?
0,How do you make a computer chip ?
0,What does `` Philebus-like '' mean ?
2,What does VCR stand for ?
0,What are tannins ?
0,Why do the chickenpoxs last so long ?
0,What causes headaches ?
3,What labor leader was last seen in the parking lot of a Michigan restaurant ?
3,Name the Four Horsemen of the Apocalypse .
OTHERS,"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?"
5,What 's the nearest star to Earth ?
OTHERS,What was the name of Sergeant Preston of the Yukon 's lead dog ?
5,What is the largest city in Connecticut ?
2,What is AFS ?
0,How would someone go about becoming an organ donor ?
OTHERS,How many films are made by the major studios in a year ?
OTHERS,What was the worst hurricane ?
OTHERS,What is the chance of conceiving quadruplets ?
OTHERS,What film dramatized the Scopes monkey trial ?
3,Who replaced Bert Parks as the host of The Miss America Pageant ?
OTHERS,"What is the all-time stock high of Apple Computer , and where can I find this information ?"
3,What Batman character tools around on a Batcycle ?
OTHERS,How big is Australia ?
OTHERS,What are the top 5 fiction books of all time ?
OTHERS,What is the name of the second space shuttle ?
0,What is a tonne ?
5,What South American capital is the world 's highest ?
5,What countries earn the most from tourism ?
3,Whose old London come-on was : `` Buy my sweet lavender '' ?
OTHERS,What did the crocodile swallow in Peter Pan ?
OTHERS,When is the site www.questions.com going to open ?
OTHERS,What are John C. Calhoun and Henry Clay known as ?
OTHERS,What war did the Wanna-Go-Home Riots occur after ?
3,What diminutive American female gymnast stole the show at the 1984 Olympics ?
5,Name the highest mountain .
OTHERS,What is a fear of failure ?
5,In what state was the first co-educational college established
3,Who directed The Wild Bunch ?
OTHERS,What invention does the principle of conservation of energy make impossible ?
OTHERS,What is the approximate weight of a teaspoon of matter in a black hole ?
OTHERS,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?"
3,Who was the first actress to appear on a postage stamp ?
OTHERS,How tall is the replica of the Matterhorn at Disneyland ?
0,How does General Mills manufacture Cheerios ?
5,What country is the worlds leading supplier of cannabis ?
0,Why do movie and TV stars get paid so much ?
3,Who did Sonny Liston succeed as world heavyweight boxing champion ?
0,How is the element strontium purified ?
5,What London street is the home of British journalism ?
OTHERS,What was John F. Kennedy 's 1960 campaign song ?
2,What is a `` USB '' port on a computer ?
5,What is the name of the tallest mountain in the world ?
2,What does the T.S. stand for in T.S. Eliot 's name ?
0,"What was Suzy Parker doing to earn $1 , 000 in the early 1950 's ?"
3,Who followed Caesar ?
0,Why was Curious George curious ?
OTHERS,How long does cocaine stay in your system ?
5,What is the largest lake in North America ?
0,"What is the origin of the term `` blue moon , '' and how often do they occur ?"
0,Where did the marriage ceremony come from ?
OTHERS,What gender is not allowed to vote in Kuwait ?
0,What is `` the only cigarette made with no leftovers '' ?
5,What two countries ' coastlines border the Bay of Biscay ?
3,What is the name of Joan Jett 's band ?
0,What is the origin of the ethnic category `` caucasian '' ?
OTHERS,What was `` America 's recessed-filter cigarette '' ?
3,Who was the inventor of the stove ?
0,What is spaceball played on ?
0,What do the 12 days of Christmas mean ?
5,Where can I read about Chiang Kai-shek ?
OTHERS,What chess outcome results when a player has no legal move ?
0,What is the origin of the word `` amen '' ?
0,What did the Confederate Constitution say about slavery ?
5,What state does Charles Robb represent ?
0,What is the origin of blue for boys and pink for girls ?
OTHERS,What scale measures earthquakes ?
0,What are Maid-Rites ?
3,Who is the composer of `` Canon in D Major '' ?
5,What is the capital of Congo ?
0,Why do horseshoes bring luck ?
OTHERS,What is the name of Jamiroquai new album ?
3,Name the lawyer for Randy Craft .
0,What is a disaccharide ?
OTHERS,What is a synonym for aspartame ?
3,What two presidents of the U.S. published books of poetry ?
OTHERS,Name the French historical period during the reign of Napoleon III .
5,What country would you visit to ski in the Dolomites ?
OTHERS,How many inches tall is Stuart Little at birth ?
3,"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?"
OTHERS,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
OTHERS,What was Einstein 's IQ ?
0,What does Ouija mean ?
OTHERS,What was the name of the computer in ` 2001 : A Space Odyssey ' ?
OTHERS,How many feet high is the hurdle in front of a runner 's steeplechase water jump ?
0,What is a ` borrow pit ' ?
0,What is the spectrum of a sine wave ?
0,What did Cool Hand Luke go to jail for ?
OTHERS,How many double-word-score spaces are there on a Scrabble Crossword Game board ?
5,What nationality were the 123 people who died in the Black Hole of Calcutta ?
0,What is a `` node '' in computer terms ?
0,How can I trace my family roots ?
3,What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?
OTHERS,What 's the biggest-selling U.S. magazine aimed at a black audience ?
0,What is the origin of the candy cane at Christmas ?
3,What comedian has a legendary reputation for stealing jokes ?
OTHERS,How many points are there on a Backgammon board ?
OTHERS,How long does the average domesticated ferret live ?
0,What 's the difference between TFT and dual-scan display ?
5,What was Einstein 's birthplace ?
OTHERS,A corgi is a kind of what ?
0,What is the origin of `` jiggy '' as in getting jiggy with it ?
OTHERS,How many emperors were there in the Roman Empire ?
OTHERS,What is a fear of cold ?
3,Who wrote the Bible ?
0,"How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?"
0,Why do recipe books recommend starting with cold water when you boil something ?
3,What famous singing cowboy owns the California Angels baseball team ?
OTHERS,What are the statistics for drunken drivers in Maryland ?
3,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
OTHERS,"What 1942 espionage movie reunited director John Huston with Maltese Falconers Humphrey Bogart , Mary Astor , and Sidney Greenstreet ?"
3,What British commander surrendered to George Washington at Yorktown in 1781 ?
OTHERS,What are the chances of pregnacy if the penis does not penetrate the vagina ?
OTHERS,What is the most popular sports car color ?
3,What famous actress made her first appearance on stage at the age of five in the year 191 as `` Baby '' ?
OTHERS,How old is too old for a child to not be talking ?
OTHERS,How many people have been Captain America ?
OTHERS,What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?
OTHERS,Jude Law acted in which film ?
5,On what avenue is the original Saks department store located ?
OTHERS,What are the seven wonders of the world ?
0,What 's the Red Planet ?
5,What is the name of the city that Maurizio Pellegrin lives in ?
0,How do you get a pointsettia to turn red ?
3,What TV sitcom character had the maiden name Ethel Potter ?
0,How come a doughnut has a hole in it ?
0,What does Lloyd 's Lutine Bell announce ?
3,Who was the first Taiwanese President ?
OTHERS,What Lewis Carroll book introduced Humpty Dumpty to the world ?
0,What is dry ice ?
3,Who was the first jockey to ride two Triple Crown winners ?
0,What is ` Last Chance for Animals ' ?
OTHERS,What is the fear of frogs ?
OTHERS,How much did a McDonald 's hamburger cost in 1963 ?
5,What U.S. state is Mammoth Cave National Park in ?
0,How do they find or choose witnesses to an execution ?
OTHERS,What do you call a Poker hand with five cards of the same suit ?
3,Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?
OTHERS,What is the goat population of the world ?
5,What Asian gulf were the destroyers Maddox and C Turner Joy shot up in ?
3,What people make up half the Soviet Union 's population ?
3,"Whose husbands have included Conrad Hilton Jr. , and Michael Wilding ?"
3,What name does the world know Renaissance artist Kyriakos Theotokopoulos by ?
0,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?"
0,How do I give a good massage ?
OTHERS,What line of luggage is named after a famous American flier ?
OTHERS,"What do you call a date that contains sequencing numbers , like 9-8-98 ?"
OTHERS,What day is known as the `` national day of prayer '' ?
OTHERS,What food can I use to catch a possum ?
3,Who was Thucydides ?
OTHERS,Name the vessel used by the Atari Force in the DC comics .
OTHERS,What three colors of ink are used to print a U.S. dollar bill ?
OTHERS,What is the fastest commercial automobile that can be bought in the US ?
OTHERS,What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?
OTHERS,What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?
3,Who told all in Ball Four ?
OTHERS,How long did it take Stanley to find Livingstone ?
3,What is Drew Barrymore 's middle name ?
3,Who was the original Humpty Dumpty ?
OTHERS,What number is at 12 o 'clock on a dartboard ?
0,Why are there letters on the telephone ? Why are there no Q or Z ?
OTHERS,What do West Indian steel bands use as instruments ?
5,Where is Ocho Rios ?
0,What does the name Kelly mean ?
OTHERS,What 's the highest hand in straight poker ?
5,What state is John F. Kennedy buried in ?
OTHERS,Which is the best opening move in chess ?
3,What part did John Peter Zenger play in the deveopment of the newspaper in America ?
3,Who wrote the poem that starts `` I love your lips when they 're wet with wine and red with a warm desire '' ?
3,What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?
3,Who was the first Holy Roman Emperor ?
5,Which Latin American country is the largest ?
OTHERS,What started in 1849 when gold was discovered at Sutter 's Mill ?
OTHERS,What does the Statue of Liberty wear on her feet ?
0,What is titanium ?
5,What country is proud to claim Volcano National Park ?
3,Who is Dear Abby ?
0,What is a Guild ?
OTHERS,"Name the product that is `` at your grocer 's , at your fingertips . ''"
OTHERS,What are the four most widely-used languages in North America ?
3,"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?"
OTHERS,What letter is to the right of K on a typewriter keyboard ?
OTHERS,What four tastes can a human distinguish ?
0,What does the term 3 mean to a newspaper editor ?
3,What is Nicholas Cage 's profession ?
OTHERS,What day was Pearl Harbor attacked in 1942 ?
OTHERS,What dangles over the tongue from the palate ?
OTHERS,What war was fought by the Spanish as far as the Philippines ?
3,Who is the most sexy celebrity ?
0,How did people respond to the idea of the first millenium ?
3,Who were the five Marx brothers ?
3,Who won the 1968 California Democratic primary ?
OTHERS,What is a softball made of ?
3,Who was Monet ?
0,What is the origin of head lice ?
OTHERS,What was the top box office movie in April 1998 ?
OTHERS,What drug is often used to treat AIDS patients ?
OTHERS,How many small businesses are there in the United States ?
OTHERS,What kind of car did Janis Joplin ask the Lord to buy her ?
OTHERS,What is the average weight for a man ?
0,"What are the factors leading to the high teen pregnancy rate in Spartanburg , South Carolina ?"
OTHERS,What is the cost of the drugs used in tuberculosis treatments ?
OTHERS,How many people in Tucson ?
0,How do I get my LAN card activated so that it can hook up to another computer without using a HUB ?
0,Why shouldn 't you remove a bee stinger with tweezers ?
0,What is a firewall ?
OTHERS,What is a fear of food ?
OTHERS,What British TV series inspired All in the Family ?
5,Where are the U.S. headquarters for Procter & Gamble ?
3,What former African leader held his country 's boxing title for nine years ?
OTHERS,How many times a year does the American Gourd Society publish The Gourd ?
0,What causes a person to have constantly sweaty hands and feet ?
0,What is a heuristic ?
0,What causes the body to shiver in cold temperatures ?
OTHERS,"What did 8 , CD NNS VBP TO VB NNP POS NN ."
OTHERS,What did Shostakovich write for Rostropovich ?
5,Which city in China has the largest number of foreign financial companies ?
3,Who was the first black woman to star in the Folies Bergeres ?
OTHERS,When did CNN go on the air ?
OTHERS,How many colors are there in a rainbow ?
OTHERS,What was the first minimum wage ?
0,What is a `` False Moon '' ?
OTHERS,When was `` the Great Depression '' ?
5,"What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?"
OTHERS,What is the name of the vaccine for chicken pox ?
OTHERS,How many tenths of the Earth 's surface lie under water ?
5,What European country 's monarchy was restored in 1975 ?
3,Who succeeded Nikita Khrushchev as first secretary of the Communist Party ?
0,What do players try to do when the music stops in a game of musical chairs ?
5,Where was the largest concentration camp in World War II ?
OTHERS,When did Fraze get his first patent for the pull-tab can ?
3,Which two inventors invented Post-its ?
OTHERS,What does a teaspoon of matter weigh in a black hole ?
0,What are amaretto biscuits ?
0,How do I contact Answers.com direct ?
OTHERS,"What was the name of the horse that fell on Queen Elizabeth , Prince Albert 's wife ?"
OTHERS,What was the longest war in U.S. history ?
3,What comedian was The Perfect Fool ?
5,Where can I find a large list of 5 to 6 letter words ?
OTHERS,When is Dick Clark 's birthday ?
OTHERS,How many people visit the Pope each month ?
OTHERS,What do opposite faces of a die always add up to ?
3,What 's comic strip photographer Peter Parker 's secret identity ?
0,What does Las Vegas mean ?
3,Who invented panties ?
OTHERS,How old is Britney Spears ?
0,How can I look up someone 's E-mail address on the Internet ?
3,Who was America 's first Public Enemy No. 1 ?
OTHERS,How do you say I love you in Spanish ?
5,Where is `` Global Schoolhouse '' ?
5,Mississippi has what name for a state nickname ?
5,What is the Homelite Inc. home page ?
0,What is infomatics ?
OTHERS,"What beer tells us , `` Grab all the gusto you can get . '' ?"
OTHERS,"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?"
0,"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?"
5,Where can one find Mozambique ?
OTHERS,How much folic acid should an expectant mother get daily ?
5,What country was Erich Honecker the leader of ?
3,Who is Malaysia 's 43rd prime minister ?
0,What is platinum ?
3,Who murdered Leno and Rosemary LaBianca on August 1
3,What Pope inaugurated Vatican International Radio ?
OTHERS,What kinds of animals are in Cambodia ?
5,What are some good medical sites for information ?
0,What is Jane Goodall famous for ?
0,How did the Hohenzollerns build their power around 17 ?
OTHERS,What is a technique popularly used to detect birth defects ?
5,What U.S. state does the Continental Divide leave to enter Canada ?
5,What continent is Bolivia on ?
OTHERS,How many quarts of whole milk is needed to make one pound of butter ?
5,What sea did the Romans call mare nostrum ?
OTHERS,How many years of bad luck follow breaking a mirror ?
OTHERS,How much did Alaska cost when bought from Russia ?
OTHERS,How many words are there in the Spanish language ?
OTHERS,What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?
3,Who is the mayor of Marbella ?
OTHERS,What 's the common name for acetylsalicylic acid ?
3,Who is the Greek God of the Sea ?
OTHERS,When did Nixon die ?
5,What country 's flag is field green ?
3,"Who was the bandleader mentor of Ella Fitzgerald with whom she cowrote `` A_Tisket , A-Tasket '' ?"
OTHERS,What was Connecticut 's first constitution called ?
0,What 's the meaning of the name Tatiana ?
3,Which presidents of the USA were Masons ?
OTHERS,"What events happened January 26 , 1978 ?"
3,"Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?"
0,What causes pneumonia ?
3,What organization is the Security Council a part of ?
2,What is Mikhail Gorbachev 's middle initial ?
OTHERS,What rabbit got its name because its ears resembled those of a jackass ?
5,What building built in 18 contains 327 miles of book shelves ?
5,What famed library can you reach by dialing 22-287-5 ?
OTHERS,What is the longest English word that can be formed using just the first row of letters on a typewriter ?
OTHERS,What is Dr. Seuss ' most popular book ?
OTHERS,What cards are bullets ?
5,What city was President William McKinley shot in ?
5,What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?
5,Where does the tennis star Stefan Edberg come from ?
OTHERS,Name the men 's cologne that is associated with the sea .
3,Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?
0,How can I get a comic character I made copyrighted and published ?
3,What count did Alexandre Dumas write about ?
5,What 's the northernmost U.S. state apart from Alaska ?
3,"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?"
OTHERS,What is Nebraska 's most valuable resource ?
OTHERS,Which is the most-used computer program ?
OTHERS,What are the names of the different toes ?
3,What World War II leader declared : `` The blow has been struck '' ?
5,What state capital comes last alphabetically ?
3,What business exports the sparkling wine Spumante ?
OTHERS,How many people are taller than 7 feet ?
OTHERS,"What is the high pitched sound that you hear in your ear every now and then , but then it goes away , after a while ?"
OTHERS,What is the West Virginia state animal ?
OTHERS,What kind of hat does Bat Masterson wear ?
OTHERS,When did communist control end in Hungary ?
0,Why are the U.S. presidential elections held in November ?
OTHERS,What format was VHS 's main competition ?
5,Where is the Mayo Clinic ?
OTHERS,How many of them are in sub-Saharan Africa ?
OTHERS,What species was Winnie the Pooh ?
OTHERS,How many mountains have been named for Presidents in the continental USA ?
5,Where do the Grimace and Mayor McCheese live ?
OTHERS,"What is the smallest thing seen under the most powerful microscope , and how big is it ?"
3,Who claims to have the greatest show on earth ?
0,How does a bill become law ?
OTHERS,When did the Jurassic Period end ?
3,Which glamorous actress is a close friend of Dick Tracy ?
5,What 's the capital of Iowa ?
OTHERS,What is the youngest age a boy or girl can have an orgasm ?
OTHERS,"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?"
0,What is federal income tax ?
5,What country contains the westernmost point in South America ?
0,What are binomial coefficients ?
3,Who makes the `` cross-your-heart bra '' ?
3,"What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?"
0,What was the verdict in the 1925 trial of John T. Scopes ?
3,Who sings Angel Eyes from the 80 's ?
0,What are some children 's rights ?
0,What is so powerful about Power Bars ?
OTHERS,When does the Bible say the seasons started ?
OTHERS,Which infectious disease kills the most people worldwide ?
3,Who was Garrett Morgan married to ?
5,"What city boasts Penn 's Landing , on the banks of the Delaware river ?"
3,Who directed Citizen Kane ?
0,What is Franz Kafka 's short story `` A Country Doctor '' trying to tell us ?
OTHERS,What Kennedy was married to Ethel ?
0,What 's new in the postal world in 1999 ?
3,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?"
OTHERS,When was Dick Clark born ?
3,Who shot Billy the Kid ?
3,What costume designer decided that Michael Jackson should only wear one glove ?
3,Who is Snoopy 's arch-enemy ?
3,What American won the world Grand Prix driving championship in 1978 ?
3,Who was known as the Time Master in comic books ?
OTHERS,How much time does the blinking of an eye take ?
0,What are the words to `` My Way '' written by Paul Anka ?
0,What is a hyperlink ?
OTHERS,What kind of animals were in the Paleozoic era ?
OTHERS,Name a movie about the Sioux Indians starring Kevin Costner .
0,How can I transport files from one computer to another ?
5,Where are diamonds mined ?
5,Where is the highest point in Japan ?
OTHERS,What is glass made of ?
OTHERS,Where does the U.S. rank among world countries in area ?
3,Name the various costumed personas of Dr. Henry Pym .
3,Who said `` Give me liberty or give me death '' ?
0,Why can 't you taste anything when you have a cold ?
5,What city was Bobby Kennedy assassinated in ?
0,What is office automation ?
OTHERS,How far away is the moon ?
0,Why are peanut butter cookies topped with crisscrosses ?
0,How do you build a solar car for a high school experiment ?
0,What are the environmental influences on plant genetics ?
5,What Asian city boasts the world 's biggest bowling alley ?
OTHERS,How old is Benny Carter ?
3,"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?"
5,Which continent has the most roses ?
